Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Type_New,Outlet_Years,Price_per_Unitwt,MRP_group,Item_Fat_Content_No_Fat,Item_Fat_Content_Regular,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Category_FD,Item_Category_NC,Item_Outlet_Sales
9.0,-2.001208680025883,56.3614,1,3,Perishable,13,6.26,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1547.3192
11.8,-2.9032377419497113,115.3492,2,1,Non_Perishable,1,9.78,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1621.8888
9.0,-2.0003637947053114,54.3614,2,3,Perishable,11,6.04,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,718.3982
8.26,-2.353975586840208,113.2834,2,1,Non_Perishable,25,13.71,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2303.668
13.35,-1.7768204407636075,230.5352,1,2,Perishable,6,17.27,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2748.4224
18.85,-1.5928375487427358,250.8724,3,1,Not_Sure,23,13.31,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3775.086
8.315,-2.3384494074086253,144.5444,2,1,Non_Perishable,25,17.38,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4064.0432
14.6,-2.482653844965024,196.5084,1,2,Non_Perishable,6,13.46,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1587.2672
15.5,-2.0984697483531365,107.6938,1,3,Non_Perishable,25,6.95,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,214.3876
13.85,-2.479314022392321,165.021,1,3,Non_Perishable,13,11.91,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4078.025
13.0,-1.792091755533319,45.906,1,2,Non_Perishable,3,3.53,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,838.908
7.645,-2.020319892881021,42.3112,1,2,Not_Sure,6,5.53,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1065.28
11.65,-2.601761412401948,39.1164,3,1,Non_Perishable,23,3.36,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,308.9312
5.925,-1.4919203201017939,45.5086,1,1,Perishable,12,7.68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,178.4344
14.5,-1.9769725418306892,43.6454,1,3,Non_Perishable,25,3.01,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,125.8362
19.25,-1.4563688791583311,55.7956,1,1,Perishable,12,2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,163.7868
18.6,-1.9143239059804025,96.4436,2,1,Non_Perishable,1,5.19,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2741.7644
18.7,-1.8334172390754704,256.6672,2,1,Not_Sure,1,13.73,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3068.0064
17.85,-1.5733805167315256,93.1436,1,2,Perishable,8,5.22,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2174.5028
17.5,-1.8039245387991492,174.8738,1,3,Non_Perishable,13,9.99,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2085.2856
10.0,-1.8575730152417493,146.7102,2,3,Non_Perishable,11,14.67,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3791.0652
20.2,-2.080982984842862,128.0678,2,1,Perishable,25,6.34,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2797.6916
8.85,-1.7174385387407651,122.5388,2,1,Non_Perishable,1,13.85,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1609.9044
6.385,-1.6654601445724655,36.9874,2,1,Not_Sure,25,5.79,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,388.1614
15.25,-2.469586270376623,87.6198,2,1,Not_Sure,25,5.75,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2180.495
13.35,-1.7767079354676933,230.6352,1,3,Perishable,13,17.28,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3435.528
9.8,-2.4640446691583,126.002,3,1,Perishable,23,12.86,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2150.534
13.6,-1.6925837417612808,192.9136,2,3,Not_Sure,11,14.18,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2527.3768
21.35,-2.00109952691526,259.9278,2,1,Non_Perishable,1,12.17,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6768.5228
12.15,-2.2538545691066076,126.5046,3,1,Non_Perishable,23,10.41,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,373.5138
6.42,-1.856232647611306,178.1002,1,1,Perishable,12,27.74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,358.2004
19.6,-2.61450851045368,153.3024,1,2,Non_Perishable,8,7.82,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2428.8384
10.0,-2.4795979468269844,265.2226,1,2,Non_Perishable,8,26.52,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5815.0972
15.85,-1.6729455529796533,60.622,1,3,Non_Perishable,13,3.82,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2576.646
10.195000000000002,-1.172984684216183,196.8794,1,3,Perishable,25,19.31,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,780.3176
7.39,-2.0115891398317385,143.8812,1,3,Non_Perishable,13,19.47,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3134.5864
10.195,-1.4987423568920775,141.5154,3,1,Non_Perishable,23,13.88,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,850.8924
9.895,-2.434145728499673,117.0492,3,1,Non_Perishable,23,11.83,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,810.9444
10.895,-2.033809231385649,196.3794,1,2,Perishable,3,18.02,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3121.2704
12.15,-2.4331682578610696,151.4708,1,2,Non_Perishable,3,12.47,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4815.0656
7.905,-2.8493416521520993,249.0408,2,1,Not_Sure,1,31.5,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,6258.52
9.195,-2.1896036192894495,106.1622,1,2,Non_Perishable,8,11.55,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2117.244
8.365,-1.9789801980073205,38.0506,2,3,Non_Perishable,11,4.55,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,796.9626
15.1,-1.4441710274178718,194.511,1,3,Not_Sure,13,12.88,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4910.275
5.94,-2.067253735401854,180.0344,1,3,Non_Perishable,25,30.31,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,892.172
10.0,-2.3242168491526467,246.9144,2,1,Perishable,1,24.69,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3185.1872
7.97,-2.279757475070713,87.3514,1,2,Perishable,8,10.96,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1062.6168
6.215,-2.7833143614812412,38.2848,2,1,Perishable,25,6.16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,484.7024
15.5,-1.5388854898183444,51.0692,1,3,Non_Perishable,25,3.29,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,147.8076
17.5,-2.477319206063207,255.8356,2,1,Not_Sure,25,14.62,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2543.356
17.7,-1.3644446748411443,185.4266,1,1,Not_Sure,12,10.48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,184.4266
19.35,-2.3698200107651477,172.5738,1,2,Perishable,6,8.92,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,4865.6664
13.65,-1.9275717564789887,186.024,1,2,Perishable,8,13.63,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1118.544
17.6,-2.260526028315181,164.8526,1,2,Non_Perishable,8,9.37,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2302.3364
8.645,-1.5690687085115043,95.841,1,3,Non_Perishable,13,11.09,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2027.361
15.6,-1.760714181437508,170.1764,1,3,Not_Sure,13,10.91,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3435.528
15.85,-1.6734604972140739,59.222,3,1,Non_Perishable,23,3.74,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,599.22
18.25,-2.0935560159412177,164.7526,1,2,Not_Sure,8,9.03,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4604.6728
7.855,-2.8070314898497952,189.6188,1,2,Non_Perishable,3,24.14,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2285.0256
7.825,-1.3957545210777205,254.3698,2,3,Non_Perishable,11,32.51,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5580.7356
8.39,-2.50844402152705,114.0176,1,3,Non_Perishable,13,13.59,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2290.352
12.85,-2.367758600379833,172.3422,2,3,Not_Sure,11,13.41,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1207.0954
13.35,-1.71423697267562,89.9804,1,3,Non_Perishable,25,6.74,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,643.1628
19.0,-1.7204962105049681,104.9622,1,2,Non_Perishable,3,5.52,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1587.933
5.905,-2.2297338164157456,222.5456,1,2,Non_Perishable,8,37.69,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5305.0944
7.76,-2.0823936632855533,101.87,1,3,Not_Sure,13,13.13,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1697.79
11.8,-2.7264632963290634,180.3344,1,3,Non_Perishable,13,15.28,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1427.4752
16.75,-2.2207766307609544,187.9556,2,1,Not_Sure,1,11.22,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4693.89
18.85,-1.0696873974622703,194.6136,1,3,Non_Perishable,25,10.32,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,583.2408
12.6,-2.3939292762337803,171.3764,2,1,Non_Perishable,25,13.6,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3091.9752
15.5,-1.649064572279691,177.0028,1,2,Perishable,3,11.42,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2479.4392
6.055,-2.487645022595861,160.992,1,2,Perishable,6,26.59,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2716.464
20.2,-2.292023996173069,155.963,2,1,Perishable,25,7.72,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3285.723
6.305,-1.6654384238179267,95.6436,1,3,Not_Sure,13,15.17,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,661.8052
20.85,-2.2851394554919455,117.2808,2,3,Perishable,11,5.62,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1523.3504
20.75,-2.275576094071042,122.173,1,1,Perishable,12,5.89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,369.519
8.895,-1.7608390344511073,39.9138,2,3,Perishable,11,4.49,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,690.4346
19.6,-2.3576063701624603,55.1614,1,2,Non_Perishable,8,2.81,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1381.535
19.7,-2.1390390292705015,57.893,1,2,Perishable,6,2.94,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,622.523
9.8,-2.5053918882377713,114.5492,1,2,Non_Perishable,6,11.69,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1274.3412
7.93,-2.861296569383644,120.0414,1,3,Non_Perishable,25,15.14,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,487.3656
12.15,-1.6248200359222922,246.046,2,3,Non_Perishable,11,20.25,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1231.73
8.75,-1.9590137255484052,187.4556,1,2,Perishable,6,21.42,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3755.112
12.15,-2.4378357168281486,149.9708,2,1,Non_Perishable,25,12.34,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4363.6532
8.75,-1.9589090779657747,187.8556,1,3,Perishable,13,21.47,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1314.2892
13.3,-2.0450020245613727,151.0708,1,2,Non_Perishable,8,11.36,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1805.6496
20.6,-2.2146188044895547,178.5344,2,1,Not_Sure,25,8.67,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2854.9504
8.31,-1.7028722266166172,179.1028,2,3,Not_Sure,11,21.55,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3896.2616
16.75,-2.4974613461606876,38.7822,3,1,Non_Perishable,23,2.32,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,667.7974
19.75,-2.3568211162273083,212.0902,2,1,Not_Sure,1,10.74,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3185.853
17.1,-2.2041984238125787,141.1838,3,1,Non_Perishable,23,8.26,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2247.7408
10.5,-1.6990821802107428,163.121,3,1,Non_Perishable,23,15.54,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1794.331
6.635,-3.0801417482820317,121.3098,1,2,Non_Perishable,8,18.28,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2530.7058
9.395,-1.1076367820794852,225.372,1,3,Non_Perishable,25,23.99,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,679.116
14.15,-2.3317097939129994,41.4138,3,1,Non_Perishable,23,2.93,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,812.276
13.3,-1.9214923633098824,232.53,1,3,Perishable,13,17.48,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,699.09
8.89,-3.046484149838333,102.4016,1,2,Non_Perishable,3,11.52,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2732.4432
6.69,-2.0372499724774293,176.937,1,3,Perishable,25,26.45,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,176.437
6.195,-1.9814346638561628,121.7098,2,1,Not_Sure,25,19.65,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4097.3332
9.1,-1.931511558003542,173.2054,1,2,Perishable,8,19.03,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3151.8972
7.5,-2.3754682443240505,239.0906,2,3,Non_Perishable,11,31.88,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,5942.265
16.85,-1.4948123741032888,192.4478,1,2,Non_Perishable,3,11.42,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4843.695
7.485,-2.001038000976312,109.0228,1,2,Not_Sure,6,14.57,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2542.0244
11.6,-2.2666367571377153,140.3154,1,2,Non_Perishable,3,12.1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2552.6772
11.65,-2.279636894747317,227.0694,2,1,Not_Sure,1,19.49,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1141.847
13.0,-2.339671898956283,47.5034,1,2,Non_Perishable,3,3.65,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,680.4476
12.65,-2.05070075662294,159.0578,1,2,Non_Perishable,8,12.57,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2085.9514
20.25,-1.4501556322545774,92.512,1,1,Non_Perishable,12,4.57,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,186.424
8.6,-2.278239631256786,190.153,1,2,Non_Perishable,6,22.11,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3036.048
12.6,-2.1803041118860906,62.7194,1,2,Perishable,3,4.98,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,866.8716
17.7,-2.798023323027275,95.041,1,2,Non_Perishable,6,5.37,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,868.869
14.15,-1.406242824135959,82.4276,1,3,Non_Perishable,13,5.83,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1137.1864
19.25,-1.7776486064133359,52.7956,1,2,Perishable,3,2.74,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,928.1252
8.88,-1.8744337772356245,151.7682,3,1,Non_Perishable,23,17.09,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,762.341
20.5,-2.373263245520024,40.2822,1,2,Non_Perishable,8,1.96,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,707.0796
12.0,-2.359792574703369,180.5976,2,1,Non_Perishable,25,15.05,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7968.2944
13.5,-1.9735785862306223,160.292,1,3,Non_Perishable,13,11.87,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1438.128
12.15,-1.564977422112536,224.4404,2,1,Non_Perishable,25,18.47,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,6976.2524
8.89,-2.8814767256261797,101.7016,1,1,Non_Perishable,12,11.44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101.2016
7.855,-2.8075984909895264,188.5188,2,1,Non_Perishable,1,24.0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,952.094
7.235,-1.942571387431637,116.0492,1,3,Non_Perishable,13,16.04,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1969.4364
18.25,-2.0770637927910673,165.4526,2,1,Not_Sure,25,9.07,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5262.4832
6.92,-2.2984829021152846,60.5852,1,2,Perishable,8,8.76,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1314.2892
9.3,-2.243230748305295,90.8172,1,2,Perishable,3,9.77,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,535.3032
18.5,-2.105214012909221,132.1284,1,1,Not_Sure,12,7.14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,263.6568
8.02,-2.591137551409363,154.5972,1,2,Non_Perishable,6,19.28,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1402.1748
9.195,-2.1877927310125083,105.1622,1,2,Non_Perishable,3,11.44,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1693.7952
12.8,-1.8452102417962672,105.5938,1,2,Not_Sure,8,8.25,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2143.876
16.6,-2.4510617524812757,177.6344,2,3,Non_Perishable,11,10.7,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2676.516
14.0,-1.577066184457327,53.064,1,2,Non_Perishable,6,3.79,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,905.488
18.6,-2.288388562206988,246.3802,2,3,Non_Perishable,11,13.25,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,7370.406
16.0,-2.0693832906900873,226.8404,1,2,Not_Sure,6,14.18,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6301.1312
17.6,-1.9040280968065448,160.692,1,2,Non_Perishable,6,9.13,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1597.92
21.25,-1.5172893489490125,178.237,1,2,Not_Sure,6,8.39,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,529.311
7.235,-1.942676743966723,117.5492,1,2,Non_Perishable,6,16.25,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1969.4364
14.6,-1.5340048675206486,50.3692,1,2,Non_Perishable,3,3.45,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1034.6532
13.85,-2.4775458090411346,161.521,2,1,Non_Perishable,1,11.66,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1794.331
13.65,-1.969500389150688,197.6426,2,1,Non_Perishable,1,14.48,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2768.3964
9.5,-2.2607268249218078,31.29,2,1,Non_Perishable,25,3.29,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,898.83
7.365,-2.2506157591807288,226.172,1,3,Perishable,13,30.71,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3169.208
18.35,-2.7266218343337814,223.5746,2,1,Non_Perishable,1,12.18,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3589.9936
5.465,-2.4092009239885672,132.5626,2,1,Non_Perishable,1,24.26,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,262.3252
18.6,-1.5275910266938877,99.8358,1,2,Perishable,3,5.37,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1910.1802
13.85,-2.3999342150180722,140.9154,1,2,Non_Perishable,3,10.17,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1701.7848
14.0,-2.0733867298710975,154.5656,3,1,Non_Perishable,23,11.04,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2471.4496
14.0,-2.2579502129604045,54.764,3,1,Not_Sure,23,3.91,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1331.6
21.35,-1.9388708576069873,97.0094,2,1,Perishable,25,4.54,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1808.9786
5.905,-2.214182402037418,222.5456,2,1,Non_Perishable,1,37.69,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3315.684
7.27,-1.9857258095947536,114.2518,1,3,Non_Perishable,13,15.72,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2618.5914
6.155,-1.8236873248391212,214.556,1,3,Perishable,13,34.86,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2769.728
19.5,-1.9371319496526824,233.4958,1,2,Non_Perishable,3,11.97,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5375.0034
15.2,-2.561864144548081,216.8824,1,2,Non_Perishable,3,14.27,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2838.9712
12.15,-2.2514721490392553,125.0046,2,1,Non_Perishable,1,10.29,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1743.0644
14.6,-2.484677427477145,198.8084,2,1,Non_Perishable,25,13.62,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5555.4352
12.6,-2.1810961588376707,61.9194,2,1,Perishable,1,4.91,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,619.194
14.5,-2.599338180911702,164.821,1,2,Not_Sure,6,11.37,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2120.573
16.6,-1.666431154613325,173.0738,1,2,Perishable,3,10.43,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3823.0236
11.8,-2.100131952231016,151.4366,3,1,Perishable,23,12.83,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1360.2294
13.1,-2.2326232808930446,178.8318,3,1,Perishable,23,13.65,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3969.4996
17.7,-1.07369595946431,115.1834,1,1,Perishable,12,6.51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,345.5502
17.85,-1.8834323010453926,196.5794,1,1,Perishable,12,11.01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,585.2382
12.3,-2.0362175195288943,92.6804,1,2,Not_Sure,8,7.53,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1010.6844
11.8,-1.801472678832369,81.4618,1,1,Non_Perishable,12,6.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161.1236
