Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_New,Item_Category,Outlet_Years,Price_per_Unitwt,MRP_group,Item_Outlet_Sales
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,DR,25,13.71,medium,2303.668
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,17.27,very_high,2748.4224
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,Not_Sure,FD,23,13.31,very_high,3775.086
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,17.38,high,4064.0432
NCB30,14.6,No_Fat,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,13.46,high,1587.2672
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,6.95,medium,214.3876
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,11.91,high,4078.025
NCD06,13.0,No_Fat,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,3.53,low,838.908
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,5.53,low,1065.28
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,DR,23,3.36,low,308.9312
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,7.68,low,178.4344
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,3.01,low,125.8362
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,2.9,low,163.7868
NCS17,18.6,No_Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,NC,1,5.19,medium,2741.7644
FDP33,18.7,Low Fat,0.0930934742,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,13.73,very_high,3068.0064
FDO23,17.85,Low Fat,0.14246229066666669,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,5.22,medium,2174.5028
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,DR,13,9.99,high,2085.2856
NCX29,10.0,No_Fat,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,14.67,high,3791.0652
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,6.34,medium,2797.6916
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,DR,1,13.85,medium,1609.9044
FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,5.79,low,388.1614
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,5.75,medium,2180.495
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,17.28,very_high,3435.528
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,12.86,medium,2150.534
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,Not_Sure,FD,11,14.18,high,2527.3768
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,12.17,very_high,6768.5228
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,10.41,medium,373.5138
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,27.74,high,358.2004
NCP05,19.6,No_Fat,0.018756953777777776,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,8,7.82,high,2428.8384
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,26.52,very_high,5815.0972
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,3.82,low,2576.646
FDS02,10.195000000000002,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,Perishable,FD,25,19.31,high,780.3176
NCL17,7.39,No_Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,NC,13,19.47,high,3134.5864
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,13.88,high,850.8924
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,11.83,medium,810.9444
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,18.02,high,3121.2704
NCP18,12.15,No_Fat,0.028760013,Household,151.4708,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,12.47,high,4815.0656
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,31.5,very_high,6258.52
NCX54,9.195,No_Fat,0.048157338,Household,106.1622,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,8,11.55,medium,2117.244
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,DR,11,4.55,low,796.9626
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,12.88,high,4910.275
FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,30.31,high,892.172
FDM20,10.0,Low Fat,0.0364918673,Fruits and Vegetables,246.9144,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,24.69,very_high,3185.1872
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,10.96,medium,1062.6168
FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,6.16,low,484.7024
FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,3.29,low,147.8076
FDY45,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,14.62,very_high,2543.356
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,Small,Tier 3,Grocery Store,Not_Sure,FD,12,10.48,high,184.4266
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,8.92,high,4865.6664
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,13.63,high,1118.544
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,8,9.37,high,2302.3364
NCI17,8.645,No_Fat,0.143422643,Health and Hygiene,95.841,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,NC,13,11.09,medium,2027.361
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,10.91,high,3435.528
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,3.74,low,599.22
FDH35,18.25,Low Fat,0.05810121044444445,Starchy Foods,164.7526,OUT045,Small,Tier 2,Supermarket Type1,Not_Sure,FD,8,9.03,high,4604.6728
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,24.14,high,2285.0256
NCZ18,7.825,No_Fat,0.186357148,Household,254.3698,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,32.51,very_high,5580.7356
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,13.59,medium,2290.352
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Medium,Tier 1,Supermarket Type1,Not_Sure,FD,11,13.41,high,1207.0954
FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,6.74,medium,643.1628
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,5.52,medium,1587.933
FDV25,5.905,Low Fat,0.04441604033333333,Canned,222.5456,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,37.69,very_high,5305.0944
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,13.13,medium,1697.79
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,FD,13,15.28,high,1427.4752
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,11.22,high,4693.89
NCL18,18.85,No_Fat,0.293417759,Household,194.6136,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,NC,25,10.32,high,583.2408
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,13.6,high,3091.9752
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,11.42,high,2479.4392
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,26.59,high,2716.464
FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,7.72,high,3285.723
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,15.17,medium,661.8052
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,5.62,medium,1523.3504
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,5.89,medium,369.519
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,DR,11,4.49,low,690.4346
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,8,2.81,low,1381.535
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,2.94,low,622.523
NCR17,9.8,No_Fat,0.024378706,Health and Hygiene,114.5492,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,11.69,medium,1274.3412
FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,FD,25,15.14,medium,487.3656
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,20.25,very_high,1231.73
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,Small,Tier 2,Supermarket Type1,Perishable,FD,6,21.42,high,3755.112
NCP18,12.15,No_Fat,0.028459761,Household,149.9708,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,NC,25,12.34,high,4363.6532
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,21.47,high,1314.2892
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,11.36,high,1805.6496
FDD10,20.6,Regular,0.045797829,Snack Foods,178.5344,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,8.67,high,2854.9504
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,Medium,Tier 1,Supermarket Type1,Not_Sure,FD,11,21.55,high,3896.2616
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,DR,23,2.32,low,667.7974
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,10.74,very_high,3185.853
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,8.26,high,2247.7408
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,15.54,high,1794.331
FDG12,6.635,Regular,0.004924115333333334,Baking Goods,121.3098,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,18.28,medium,2530.7058
DRE60,9.395,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,Small,Tier 1,Grocery Store,Non_Perishable,DR,25,23.99,very_high,679.116
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,DR,23,2.93,low,812.276
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,17.48,very_high,699.09
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,11.52,medium,2732.4432
FDW39,6.69,Regular,0.064625342,Meat,176.937,OUT019,Small,Tier 1,Grocery Store,Perishable,FD,25,26.45,high,176.437
FDX34,6.195,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,19.65,medium,4097.3332
FDV11,9.1,Regular,0.078393078375,Breads,173.2054,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,19.03,high,3151.8972
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,31.88,very_high,5942.265
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,11.42,high,4843.695
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,14.57,medium,2542.0244
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,12.1,high,2552.6772
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Medium,Tier 3,Supermarket Type2,Not_Sure,FD,1,19.49,very_high,1141.847
NCF19,13.0,No_Fat,0.035307322,Household,47.5034,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,3.65,low,680.4476
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,8,12.57,high,2085.9514
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,FD,12,4.57,medium,186.424
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,22.11,high,3036.048
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,4.98,low,866.8716
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,5.37,medium,868.869
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,DR,13,5.83,medium,1137.1864
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,2.74,low,928.1252
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,DR,23,17.09,high,762.341
NCP30,20.5,No_Fat,0.032835147,Household,40.2822,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,8,1.96,low,707.0796
FDY25,12.0,Low Fat,0.033809913,Canned,180.5976,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,FD,25,15.05,high,7968.2944
NCH54,13.5,No_Fat,0.07266912,Household,160.292,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,NC,13,11.87,high,1438.128
NCR53,12.15,No_Fat,0.144338493,Health and Hygiene,224.4404,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,NC,25,18.47,very_high,6976.2524
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,Small,Tier 3,Grocery Store,Non_Perishable,FD,12,11.44,medium,101.2016
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,24.0,high,952.094
NCO26,7.235,No_Fat,0.076855628,Household,116.0492,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,NC,13,16.04,medium,1969.4364
FDH35,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,9.07,high,5262.4832
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,Small,Tier 2,Supermarket Type1,Perishable,FD,8,8.76,low,1314.2892
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,9.77,medium,535.3032
NCN07,18.5,No_Fat,0.056816465,Others,132.1284,OUT010,Small,Tier 3,Grocery Store,Not_Sure,NC,12,7.14,medium,263.6568
NCC31,8.02,No_Fat,0.019866705,Household,154.5972,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,19.28,high,1402.1748
NCX54,9.195,No_Fat,0.048331717,Household,105.1622,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,3,11.44,medium,1693.7952
NCO55,12.8,No_Fat,0.091221855,Others,105.5938,OUT045,Small,Tier 2,Supermarket Type1,Not_Sure,NC,8,8.25,medium,2143.876
NCC30,16.6,No_Fat,0.027622076,Household,177.6344,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,NC,11,10.7,high,2676.516
FDI16,14.0,Regular,0.14164533829999998,Frozen Foods,53.064,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,6,3.79,low,905.488
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,Medium,Tier 1,Supermarket Type1,Non_Perishable,FD,11,13.25,very_high,7370.406
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,14.18,very_high,6301.1312
NCB06,17.6,No_Fat,0.082316506,Health and Hygiene,160.692,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,9.13,high,1597.92
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,FD,6,8.39,high,529.311
NCO26,7.235,No_Fat,0.076841095,Household,117.5492,OUT035,Small,Tier 2,Supermarket Type1,Non_Perishable,NC,6,16.25,medium,1969.4364
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,3.45,low,1034.6532
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,11.66,high,1794.331
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,14.48,high,2768.3964
DRK12,9.5,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,DR,25,3.29,low,898.83
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,30.71,very_high,3169.208
NCI18,18.35,No_Fat,0.014081156,Household,223.5746,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,NC,1,12.18,very_high,3589.9936
FDB36,5.465,Regular,0.030340533875,Baking Goods,132.5626,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,24.26,medium,262.3252
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,5.37,medium,1910.1802
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,10.17,high,1701.7848
FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5656,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,FD,23,11.04,high,2471.4496
FDM22,14.0,Regular,0.04192285,Snack Foods,54.764,OUT013,High,Tier 3,Supermarket Type1,Not_Sure,FD,23,3.91,low,1331.6
FDR07,21.35,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,Medium,Tier 3,Supermarket Type3,Perishable,FD,25,4.54,medium,1808.9786
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,37.69,very_high,3315.684
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,Small,Tier 1,Supermarket Type1,Non_Perishable,DR,13,15.72,medium,2618.5914
FDW51,6.155,Regular,0.094659871,Meat,214.556,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,34.86,very_high,2769.728
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,DR,3,11.97,very_high,5375.0034
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,14.27,very_high,2838.9712
FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,10.29,medium,1743.0644
NCB30,14.6,No_Fat,0.025578526,Household,198.8084,OUT027,Medium,Tier 3,Supermarket Type3,Non_Perishable,NC,25,13.62,high,5555.4352
FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,Medium,Tier 3,Supermarket Type2,Perishable,FD,1,4.91,low,619.194
NCM43,14.5,No_Fat,0.019471688,Others,164.821,OUT035,Small,Tier 2,Supermarket Type1,Not_Sure,NC,6,11.37,high,2120.573
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,Small,Tier 2,Supermarket Type1,Perishable,FD,3,10.43,high,3823.0236
FDM15,11.8,Regular,0.057373797,Meat,151.4366,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,12.83,high,1360.2294
