Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Years,Price_per_Unitwt,Item_Outlet_Sales,Item_type_Perishable,Fat_content_No_Fat,Fat_content_Regular,Out_ID_OUT013,Out_ID_OUT017,Out_ID_OUT018,Out_ID_OUT019,Out_ID_OUT027,Out_ID_OUT035,Out_ID_OUT045,Out_ID_OUT046,Out_ID_OUT049,OutletType_SupermarketType1,OutletType_SupermarketType2,OutletType_SupermarketType3,MRP_Cluster_1,MRP_Cluster_2,MRP_Cluster_3,Item_cat_FD,Item_cat_NC
FDP49,9.0,0.069196376,54.3614,2,3,11,6.04,718.3982,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
DRI11,8.26,0.034237682,113.2834,2,1,25,13.71,2303.668,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
FDU02,13.35,0.10249212,230.5352,1,2,6,17.27,2748.4224,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
FDN22,18.85,0.138190277,250.8724,3,1,23,13.31,3775.086,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
FDW12,8.315,0.035399923,144.5444,2,1,25,17.38,4064.0432,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
NCB30,14.6,0.025698134,196.5084,1,2,6,13.46,1587.2672,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDC37,15.5,0.057556998,107.6938,1,3,25,6.95,214.3876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
FDR28,13.85,0.025896485,165.021,1,3,13,11.91,4078.025,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
NCD06,13.0,0.099887103,45.906,1,2,3,3.53,838.908,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FDV10,7.645,0.066693437,42.3112,1,2,6,5.53,1065.28,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
DRJ59,11.65,0.019356132,39.1164,3,1,23,3.36,308.9312,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,45.5086,1,1,12,7.68,178.4344,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FDC14,14.5,0.072221801,43.6454,1,3,25,3.01,125.8362,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.170348551,55.7956,1,1,12,2.9,163.7868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NCS17,18.6,0.080829372,96.4436,2,1,1,5.19,2741.7644,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
FDP33,18.7,0.0930934742,256.6672,2,1,1,13.73,3068.0064,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
FDO23,17.85,0.14246229066666669,93.1436,1,2,8,5.22,2174.5028,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
DRH01,17.5,0.097904029,174.8738,1,3,13,9.99,2085.2856,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
NCX29,10.0,0.089291137,146.7102,2,3,11,14.67,3791.0652,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
FDV20,20.2,0.059511812,128.0678,2,1,25,6.34,2797.6916,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
DRZ11,8.85,0.113123893,122.5388,2,1,1,13.85,1609.9044,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FDX10,6.385,0.123111453,36.9874,2,1,25,5.79,388.1614,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
FDB34,15.25,0.026480954,87.6198,2,1,25,5.75,2180.495,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
FDU02,13.35,0.102511504,230.6352,1,3,13,17.28,3435.528,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
FDK43,9.8,0.02681843,126.002,3,1,23,12.86,2150.534,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
FDA46,13.6,0.117818348,192.9136,2,3,11,14.18,2527.3768,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
FDC02,21.35,0.069102831,259.9278,2,1,1,12.17,6768.5228,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
FDL50,12.15,0.042277867,126.5046,3,1,23,10.41,373.5138,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
FDM39,6.42,0.089498926,178.1002,1,1,12,27.74,358.2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NCP05,19.6,0.018756953777777776,153.3024,1,2,8,7.82,2428.8384,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
FDV49,10.0,0.025879577,265.2226,1,2,8,26.52,5815.0972,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
FDL12,15.85,0.121632721,60.622,1,3,13,3.82,2576.646,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
FDS02,10.195000000000002,0.255394896,196.8794,1,3,25,19.31,780.3176,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
NCL17,7.39,0.067779712,143.8812,1,3,13,19.47,3134.5864,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
FDM40,10.195,0.159803853,141.5154,3,1,23,13.88,850.8924,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDR13,9.895,0.028696932,117.0492,3,1,23,11.83,810.9444,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
FDA43,10.895,0.065041581,196.3794,1,2,3,18.02,3121.2704,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
NCP18,12.15,0.028760013,151.4708,1,2,3,12.47,4815.0656,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
FDK21,7.905,0.010053105,249.0408,2,1,1,31.5,6258.52,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
NCX54,9.195,0.048157338,106.1622,1,2,8,11.55,2117.244,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
DRK35,8.365,0.071958197,38.0506,2,3,11,4.55,796.9626,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
FDY21,15.1,0.173481304,194.511,1,3,13,12.88,4910.275,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
FDI26,5.94,0.061082177,180.0344,1,3,25,30.31,892.172,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
FDM20,10.0,0.0364918673,246.9144,2,1,1,24.69,3185.1872,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
FDV27,7.97,0.040071131,87.3514,1,2,8,10.96,1062.6168,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
FDF09,6.215,0.012090074,38.2848,2,1,25,6.16,484.7024,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
FDY40,15.5,0.15028599,51.0692,1,3,25,3.29,147.8076,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FDY45,17.5,0.026015519,255.8356,2,1,25,14.62,2543.356,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
FDC46,17.7,0.195068226,185.4266,1,1,12,10.48,184.4266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
FDH19,19.35,0.033082215,172.5738,1,2,6,8.92,4865.6664,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDZ03,13.65,0.078946455,186.024,1,2,8,13.63,1118.544,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
DRH37,17.6,0.041700756,164.8526,1,2,8,9.37,2302.3364,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
NCI17,8.645,0.143422643,95.841,1,3,13,11.09,2027.361,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
FDJ58,15.6,0.105296072,170.1764,1,3,13,10.91,3435.528,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
FDL12,15.85,0.121531501,59.222,3,1,23,3.74,599.22,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FDH35,18.25,0.05810121044444445,164.7526,1,2,8,9.03,4604.6728,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
FDG02,7.855,0.011324862,189.6188,1,2,3,24.14,2285.0256,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
NCZ18,7.825,0.186357148,254.3698,2,3,11,32.51,5580.7356,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
FDC29,8.39,0.024205661,114.0176,1,3,13,13.59,2290.352,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,2,3,11,13.41,1207.0954,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
FDN48,13.35,0.113720344,89.9804,1,3,25,6.74,643.1628,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
FDL04,19.0,0.112556507,104.9622,1,2,3,5.52,1587.933,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
FDV25,5.905,0.04441604033333333,222.5456,1,2,8,37.69,5305.0944,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
FDD58,7.76,0.059352241,101.87,1,3,13,13.13,1697.79,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
FDN04,11.8,0.014087057,180.3344,1,3,13,15.28,1427.4752,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
FDV45,16.75,0.045230944,187.9556,2,1,1,11.22,4693.89,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
NCL18,18.85,0.293417759,194.6136,1,3,25,10.32,583.2408,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
FDR12,12.6,0.031382044,171.3764,2,1,25,13.6,3091.9752,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
FDG20,15.5,0.12639886,177.0028,1,2,3,11.42,2479.4392,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDZ55,6.055,0.025403898,160.992,1,2,6,26.59,2716.464,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDQ49,20.2,0.039057677,155.963,2,1,25,7.72,3285.723,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
FDN33,6.305,0.123115764,95.6436,1,3,13,15.17,661.8052,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
FDN27,20.85,0.039624006,117.2808,2,3,11,5.62,1523.3504,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
FDW20,20.75,0.040421193,122.173,1,1,12,5.89,369.519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
DRG27,8.895,0.105274111,39.9138,2,3,11,4.49,690.4346,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
DRI25,19.6,0.033970195,55.1614,1,2,8,2.81,1381.535,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDA44,19.7,0.053212652,57.893,1,2,6,2.94,622.523,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
NCR17,9.8,0.024378706,114.5492,1,2,6,11.69,1274.3412,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
FDU04,7.93,0.009714595,120.0414,1,3,25,15.14,487.3656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
FDF41,12.15,0.131383762,246.046,2,3,11,20.25,1231.73,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
FDB56,8.75,0.07461309,187.4556,1,2,6,21.42,3755.112,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
NCP18,12.15,0.028459761,149.9708,2,1,25,12.34,4363.6532,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
FDB56,8.75,0.074627201,187.8556,1,3,13,21.47,1314.2892,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
FDT28,13.3,0.063695084,151.0708,1,2,8,11.36,1805.6496,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
FDD10,20.6,0.045797829,178.5344,2,1,25,8.67,2854.9504,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
FDW57,8.31,0.115857223,179.1028,2,3,11,21.55,3896.2616,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
DRB48,16.75,0.024832806,38.7822,3,1,23,2.32,667.7974,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,212.0902,2,1,1,10.74,3185.853,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
FDH14,17.1,0.0467696,141.1838,3,1,23,8.26,2247.7408,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDA47,10.5,0.116576702,163.121,3,1,23,15.54,1794.331,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDG12,6.635,0.004924115333333334,121.3098,1,2,8,18.28,2530.7058,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
DRE60,9.395,0.278974075,225.372,1,3,25,23.99,679.116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
DRK49,14.15,0.035913805,41.4138,3,1,23,2.93,812.276,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,232.53,1,3,13,17.48,699.09,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
FDS52,8.89,0.005505481,102.4016,1,2,3,11.52,2732.4432,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
FDW39,6.69,0.064625342,176.937,1,3,25,26.45,176.437,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
FDX34,6.195,0.071636937,121.7098,2,1,25,19.65,4097.3332,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
FDV11,9.1,0.078393078375,173.2054,1,2,8,19.03,3151.8972,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
FDD17,7.5,0.032677678,239.0906,2,3,11,31.88,5942.265,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
FDZ16,16.85,0.160760054,192.4478,1,2,3,11.42,4843.695,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDZ46,7.485,0.06911065,109.0228,1,2,6,14.57,2542.0244,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
DRA12,11.6,0.041177505,140.3154,1,2,3,12.1,2552.6772,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
FDY58,11.65,0.040081193,227.0694,2,1,1,19.49,1141.847,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
NCF19,13.0,0.035307322,47.5034,1,2,3,3.65,680.4476,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DRJ13,12.65,0.063017847,159.0578,1,2,8,12.57,2085.9514,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
FDB14,20.25,0.171938781,92.512,1,1,12,4.57,186.424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
FDJ38,8.6,0.040197932,190.153,1,2,6,22.11,3036.048,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
FDW11,12.6,0.049058014,62.7194,1,2,3,4.98,866.8716,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FDL40,17.7,0.01161096,95.041,1,2,6,5.37,868.869,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
DRI49,14.15,0.183507295,82.4276,1,3,13,5.83,1137.1864,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
FDV38,19.25,0.102349519,52.7956,1,2,3,2.74,928.1252,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
DRG23,8.88,0.086708987,151.7682,3,1,23,17.09,762.341,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
NCP30,20.5,0.032835147,40.2822,1,2,8,1.96,707.0796,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
FDY25,12.0,0.033809913,180.5976,2,1,25,15.05,7968.2944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
NCH54,13.5,0.07266912,160.292,1,3,13,11.87,1438.128,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
NCR53,12.15,0.144338493,224.4404,2,1,25,18.47,6976.2524,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
FDS52,8.89,0.009163216,101.7016,1,1,12,11.44,101.2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
FDG02,7.855,0.011307038,188.5188,2,1,1,24.0,952.094,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
NCO26,7.235,0.076855628,116.0492,1,3,13,16.04,1969.4364,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
FDH35,18.25,0.059956876,165.4526,2,1,25,9.07,5262.4832,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
FDB51,6.92,0.038532062,60.5852,1,2,8,8.76,1314.2892,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
FDX44,9.3,0.043209581,90.8172,1,2,3,9.77,535.3032,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
NCN07,18.5,0.056816465,132.1284,1,1,12,7.14,263.6568,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
NCC31,8.02,0.019866705,154.5972,1,2,6,19.28,1402.1748,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
NCX54,9.195,0.048331717,105.1622,1,2,3,11.44,1693.7952,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
NCO55,12.8,0.091221855,105.5938,1,2,8,8.25,2143.876,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
NCC30,16.6,0.027622076,177.6344,2,3,11,10.7,2676.516,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
FDI16,14.0,0.14164533829999998,53.064,1,2,6,3.79,905.488,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
FDP16,18.6,0.039355947,246.3802,2,3,11,13.25,7370.406,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
FDB11,16.0,0.060836524,226.8404,1,2,6,14.18,6301.1312,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
NCB06,17.6,0.082316506,160.692,1,2,6,9.13,1597.92,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDA45,21.25,0.155350299,178.237,1,2,6,8.39,529.311,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
NCO26,7.235,0.076841095,117.5492,1,2,6,16.25,1969.4364,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
DRJ25,14.6,0.151419185,50.3692,1,2,3,3.45,1034.6532,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FDR28,13.85,0.026001976,161.521,2,1,1,11.66,1794.331,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
FDI04,13.65,0.073209447,197.6426,2,1,1,14.48,2768.3964,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
DRK12,9.5,0.041683481,31.29,2,1,25,3.29,898.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
FDX20,7.365,0.042560252,226.172,1,3,13,30.71,3169.208,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
NCI18,18.35,0.014081156,223.5746,2,1,1,12.18,3589.9936,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
FDB36,5.465,0.030340533875,132.5626,2,1,1,24.26,262.3252,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
FDN13,18.6,0.152918384,99.8358,1,2,3,5.37,1910.1802,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
DRD24,13.85,0.030969274,140.9154,1,2,3,10.17,1701.7848,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
FDQ28,14.0,0.060376776,154.5656,3,1,23,11.04,2471.4496,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDM22,14.0,0.04192285,54.764,3,1,23,3.91,1331.6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FDR07,21.35,0.077367431,97.0094,2,1,25,4.54,1808.9786,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
FDV25,5.905,0.045838211,222.5456,2,1,1,37.69,3315.684,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
DRF49,7.27,0.071077939,114.2518,1,3,13,15.72,2618.5914,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
FDW51,6.155,0.094659871,214.556,1,3,13,34.86,2769.728,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
DRL01,19.5,0.077608838,233.4958,1,2,3,11.97,5375.0034,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
FDP25,15.2,0.021327477,216.8824,1,2,3,14.27,2838.9712,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
FDL50,12.15,0.042485444,125.0046,2,1,1,10.29,1743.0644,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
NCB30,14.6,0.025578526,198.8084,2,1,25,13.62,5555.4352,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
FDW11,12.6,0.0489808,61.9194,2,1,1,4.91,619.194,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
NCM43,14.5,0.019471688,164.821,1,2,6,11.37,2120.573,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
FDK44,16.6,0.122918852,173.0738,1,2,3,10.43,3823.0236,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDM15,11.8,0.057373797,151.4366,3,1,23,12.83,1360.2294,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDS31,13.1,0.044155597,178.8318,3,1,23,13.65,3969.4996,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDI32,17.7,0.291865402,115.1834,1,1,12,6.51,345.5502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
FDR47,17.85,0.08535471260000001,196.5794,1,1,12,11.01,585.2382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
FDB35,12.3,0.064750025,92.6804,1,2,8,7.53,1010.6844,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
