,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
72,FDZ14,OUT018,1727.664656454689
73,DRG49,OUT049,3952.2889678491
74,NCG06,OUT045,3957.577565183894
75,DRC36,OUT045,2719.067352196743
76,FDV21,OUT019,50.56806121862883
77,FDB53,OUT046,2360.4544529867662
78,DRP47,OUT019,2040.316259995574
79,FDA14,OUT013,2368.051075823144
80,DRC24,OUT035,2578.5411274962835
81,FDW21,OUT018,1400.9977155213455
82,NCH29,OUT046,1551.0202792519785
83,FDU58,OUT013,3059.465284946933
84,FDY27,OUT017,2937.3282461553117
85,FDV56,OUT035,1961.2923377497145
86,FDT59,OUT046,3680.7617605793557
87,FDB23,OUT046,3634.235823439152
88,FDR49,OUT045,689.9029763538974
89,FDB03,OUT010,1936.228564870491
90,FDN39,OUT045,2623.082751448901
91,FDX02,OUT027,5003.34756985328
92,FDQ16,OUT027,3179.0696543681934
93,FDU35,OUT018,1332.41184615986
94,NCT29,OUT013,1950.4033568255682
95,FDZ27,OUT046,831.6992650080647
96,FDN57,OUT017,2356.1129608566616
97,FDA03,OUT018,2113.261425304676
98,FDZ36,OUT045,2903.2723375744445
99,NCU05,OUT013,1338.7924287770484
100,FDT39,OUT018,2210.1247944398447
101,FDK60,OUT017,1704.309768673581
102,FDZ25,OUT017,2842.975914928954
103,FDG12,OUT046,2001.4460345007083
104,DRB01,OUT019,1097.314651406737
105,NCC43,OUT027,5372.450400282694
106,FDX13,OUT019,2022.4820869457435
107,FDM22,OUT049,1020.1482119735492
108,FDJ03,OUT027,2318.622228166586
109,FDU14,OUT018,3685.562307156025
110,FDB33,OUT010,648.1352525369721
111,FDP27,OUT046,3010.6670055609866
112,FDO38,OUT010,-662.6677135919813
113,FDE28,OUT027,5149.503551439
114,FDO27,OUT035,1714.2828745240813
115,DRL23,OUT027,3166.6282221589863
116,FDS28,OUT046,953.2857610385945
117,FDX24,OUT013,1545.1370684943067
118,FDZ02,OUT035,1760.6108944506432
119,FDL46,OUT045,1792.9486855017049
120,FDS60,OUT027,4285.399043939459
121,NCO06,OUT017,651.7115714593347
122,FDO16,OUT035,1535.3698244491834
123,FDC60,OUT049,1541.6129895330905
124,FDA48,OUT018,3205.8424961427927
125,FDZ36,OUT027,4432.033049019306
126,FDK27,OUT045,1886.776552228067
127,FDW23,OUT018,380.83059164170163
128,FDM14,OUT018,1503.112197642783
129,FDM14,OUT013,1781.2535719612142
130,FDW60,OUT018,2591.6466647858797
131,FDE21,OUT013,1914.7211309698105
132,NCM42,OUT035,1879.5631826828085
133,FDY59,OUT010,-389.0591529940234
134,DRI49,OUT049,1390.8018093843393
135,FDT28,OUT019,512.2907757071184
136,FDQ22,OUT018,410.87460126568476
137,FDR60,OUT049,1342.0341980208495
138,FDC50,OUT019,-394.9961626536865
139,FDV24,OUT013,2439.794287866045
140,DRF48,OUT010,1053.3401731843692
141,FDQ47,OUT046,667.20441020201
142,DRN36,OUT049,1656.7678942625607
143,NCY06,OUT035,2161.268808976439
144,FDE52,OUT035,1664.8950562391965
145,NCB54,OUT045,1926.2416535267594
146,NCF31,OUT035,2561.8300370120996
147,FDJ08,OUT027,4451.795980211961
148,NCC07,OUT017,1791.5971835131604
149,NCD19,OUT027,2331.8554133316393
150,FDL46,OUT049,1987.8756682317426
151,FDM20,OUT045,3839.8869772635753
152,NCI06,OUT010,920.9675965703723
153,DRM11,OUT035,4211.190230396618
154,NCH07,OUT018,2219.881708877474
155,FDS23,OUT013,2072.012658670852
156,FDO49,OUT018,606.6762847401396
157,FDS35,OUT049,1156.4134514782709
158,DRK39,OUT045,1282.0834222255726
159,DRI39,OUT049,1042.6097787972976
160,FDV04,OUT017,2643.377259357032
161,NCN14,OUT035,3000.4686332972788
162,FDH08,OUT013,3716.599043066836
163,FDS20,OUT046,2911.221037344998
164,FDV40,OUT049,1355.010337462205
165,FDZ48,OUT010,-158.29742961147713
166,FDS24,OUT027,2910.915848399245
167,FDK44,OUT049,2861.8208861935827
168,FDS48,OUT045,2347.028330867879
169,FDK26,OUT010,1081.724055008633
170,FDD23,OUT045,2955.765327748074
171,NCH54,OUT017,2649.716894627307
172,NCP14,OUT010,-248.77744159348595
173,FDM60,OUT010,-1196.6015848584257
174,FDV24,OUT017,2505.2477521495694
175,FDH08,OUT018,3375.2122382734133
176,FDS12,OUT027,3452.287527130652
177,FDR39,OUT027,4314.339282113729
178,FDP12,OUT027,2130.422952125993
179,DRF60,OUT027,5178.917732507053
180,FDC09,OUT035,1862.408452415416
181,FDF50,OUT018,2833.476151045161
182,FDG28,OUT035,4041.21700704228
183,NCE19,OUT017,985.287526414691
184,NCM53,OUT010,-207.55842878361682
185,NCN18,OUT049,1841.3462497926375
186,FDF32,OUT035,3294.888357304002
187,FDF11,OUT013,3871.8582074081414
188,DRI59,OUT049,3658.334501358294
189,NCG54,OUT035,2810.205766339418
190,FDM44,OUT046,1655.3020444837694
191,FDT57,OUT018,3473.4968736156625
192,FDV24,OUT046,2400.022986026741
193,FDI50,OUT019,1758.1313730606826
194,FDS09,OUT035,1029.0417176939654
195,NCC31,OUT027,3908.245566153625
196,FDQ07,OUT019,1619.5980694467935
197,FDC22,OUT017,3154.906625285268
198,FDZ56,OUT046,2713.7982920835875
199,FDZ40,OUT019,-1007.6622524700267
200,FDS46,OUT027,3379.4419714072365
201,DRD24,OUT045,2183.7022488691846
202,FDV45,OUT017,3094.474336114409
203,FDL26,OUT045,2410.9190602132967
204,FDA56,OUT018,1713.9588049565336
205,FDN27,OUT046,1898.2729394184098
206,FDM20,OUT049,3987.2916806494068
207,FDO16,OUT017,1467.5050163175138
208,FDL03,OUT035,3293.5111298834163
209,FDE58,OUT046,1864.4334809172824
210,FDI02,OUT027,3272.4980116248435
211,NCC55,OUT019,-1257.6446209071112
212,FDR03,OUT018,3075.4981070077665
213,FDB14,OUT017,1630.6204339277801
214,FDR45,OUT013,3847.7686367374026
215,NCN07,OUT017,2147.7078157104515
216,FDM51,OUT019,-188.0012108777887
217,FDT52,OUT027,5363.13617081671
218,FDL26,OUT046,2456.522438258462
219,NCZ42,OUT046,3773.499432486321
220,DRI47,OUT019,431.5462640206915
221,FDW40,OUT013,2326.806599327764
222,FDN34,OUT046,2733.9759241590637
223,FDS01,OUT035,2985.1119344675863
224,NCG55,OUT045,1768.3686092818198
225,FDC11,OUT035,1544.996066455331
226,FDX35,OUT018,3355.284666812987
227,NCB06,OUT046,2524.8182303918948
228,FDR09,OUT019,2181.9016307256616
229,FDC53,OUT017,1687.3183390071472
230,FDY45,OUT013,4064.6635224017846
231,FDA22,OUT010,747.5460724933114
232,FDE02,OUT035,1670.0707396737416
233,FDW21,OUT045,1611.7168645995607
234,FDV34,OUT046,1276.5704968053797
235,FDS59,OUT049,1905.2926013125616
236,NCW17,OUT017,2122.076191117959
237,NCK54,OUT046,1856.4869142864945
238,FDG17,OUT019,2001.9062188936496
239,FDG35,OUT017,2907.242183786914
240,FDD08,OUT010,-1242.2349373360662
241,NCO07,OUT017,3457.7816676653347
242,FDJ10,OUT010,377.1902057005732
243,FDW36,OUT017,1775.9789987736322
244,FDW21,OUT010,-226.15470645904816
245,FDY19,OUT017,2000.5253406801166
246,DRE03,OUT013,827.5369747845834
247,NCC55,OUT049,733.409115147872
248,FDH52,OUT010,-840.0161955326521
249,FDO09,OUT017,4297.569632826076
250,FDU43,OUT045,3769.6951784933226
251,FDX09,OUT010,853.5172792440153
252,FDH40,OUT019,-509.51354083496267
253,FDW58,OUT017,1796.6334913862584
254,FDC47,OUT017,3690.5425637118597
255,NCR41,OUT035,1662.0239948071212
256,DRG49,OUT035,3992.1688673158333
257,FDC52,OUT027,3959.5531841653565
258,FDY13,OUT046,1240.6698937412857
259,FDY35,OUT013,844.1108572286039
260,FDI35,OUT017,2985.6252878746072
261,NCU18,OUT049,2345.3326536101195
262,FDY33,OUT018,2282.6784421244465
263,FDC15,OUT027,3950.7988930540096
264,FDU01,OUT049,3101.952742823668
265,NCU42,OUT046,2683.7883861317596
266,NCV29,OUT018,2529.810189819188
267,NCY30,OUT017,2982.1259755942765
268,FDQ46,OUT049,1877.3689360783383
269,FDG58,OUT027,3940.9863133736844
270,FDK33,OUT017,3508.3896624772824
271,NCD07,OUT045,1755.6274658095617
272,NCX29,OUT027,3735.6929566883937
273,NCT42,OUT013,2388.1015576487625
274,DRN59,OUT035,900.417091698268
275,FDI44,OUT035,1446.3074459829677
276,FDA45,OUT049,2895.343952408468
277,FDP31,OUT045,1024.825782368398
278,FDY01,OUT046,1857.551675968236
279,FDT09,OUT018,1885.4124242989847
280,DRH03,OUT027,2989.5225863764153
281,FDA36,OUT018,2692.3821855372453
282,NCF31,OUT017,2532.7930895164645
283,FDG14,OUT049,2558.341801641858
284,FDG28,OUT027,5371.41930884169
285,FDU14,OUT049,4064.4115187596917
286,FDY47,OUT019,231.02630951699075
287,FDI56,OUT049,1568.7365086337186
288,DRD01,OUT013,984.5472761060346
289,FDM22,OUT046,948.6616793753956
290,FDH33,OUT013,734.754253868131
291,DRZ24,OUT013,1896.0724470612495
292,NCQ38,OUT046,1682.571459005887
293,FDO16,OUT027,2832.393394006631
294,FDU07,OUT027,3852.1328967799254
295,NCB07,OUT013,3069.905161722312
296,FDU48,OUT045,2021.970169013175
297,NCM43,OUT045,2549.250612616527
298,FDR31,OUT010,450.88264471399225
299,DRK49,OUT018,418.4780314940108
300,NCI30,OUT010,1919.834668948598
301,DRD60,OUT017,2963.319176012332
302,NCG19,OUT046,3678.210614331013
303,FDH12,OUT035,1824.0305685676303
304,FDM32,OUT035,1654.0637929774139
305,FDM27,OUT035,2670.7591209273814
306,NCU53,OUT027,4063.892480744663
307,NCQ18,OUT046,1559.1079583028086
308,FDS10,OUT013,2871.4483787268546
309,FDB33,OUT027,3989.088544569283
310,FDI12,OUT013,1461.947613214632
311,NCW42,OUT013,3519.240641026083
312,NCC06,OUT018,1749.2911712158657
313,FDW02,OUT017,2156.5595839035996
314,NCD43,OUT017,1771.5891772533032
315,FDM57,OUT018,1118.2906842182974
316,FDA58,OUT017,3839.2375545769773
317,FDK56,OUT046,2927.4570878319983
318,FDP52,OUT045,3630.0004036218306
319,FDW20,OUT018,1715.1886803468615
320,FDS52,OUT049,1735.5384548596003
321,NCT29,OUT018,1609.2296479720544
322,NCL54,OUT013,2802.352618481237
323,FDC05,OUT045,3090.1121299625856
324,FDF34,OUT035,3306.1716450003114
325,FDP03,OUT027,3476.2688931902967
326,FDD32,OUT010,-497.971707347544
327,FDZ10,OUT045,1955.979449258376
328,FDZ40,OUT035,1041.6980022618054
329,FDD51,OUT018,465.52097878306995
330,NCY30,OUT019,928.6565018933593
331,FDP58,OUT017,3547.4581285759077
332,FDV49,OUT017,4275.849144107049
333,FDY24,OUT019,-1024.2507647122445
334,NCO55,OUT017,1792.8270343493923
335,FDR13,OUT017,2014.9185450998748
336,FDS51,OUT017,1135.3176848021785
337,FDP26,OUT045,1608.8890907618834
338,NCB54,OUT027,3479.7947657400664
339,FDF32,OUT017,3223.5924728879554
340,FDN31,OUT018,2723.7860618409586
341,DRM48,OUT017,705.4310172180626
342,FDN20,OUT049,2804.006429832808
343,DRL01,OUT046,3708.9231869167343
344,FDV56,OUT049,1888.4127720120305
345,DRH13,OUT027,3173.9697465233558
346,FDA03,OUT017,2492.9209632273614
347,FDF47,OUT027,4985.959213210421
348,FDX32,OUT046,2391.0722888817563
349,FDX57,OUT049,1698.7093868497623
350,NCA30,OUT045,2901.2351736765804
351,FDO49,OUT013,916.2264334240672
352,FDL04,OUT019,-234.9001423243485
353,DRM48,OUT035,763.90620162704
354,FDR16,OUT013,3431.224636269968
355,NCC19,OUT018,2731.1947182343783
356,NCE42,OUT045,3648.3158538716098
357,FDY24,OUT017,1024.816748601429
358,FDH19,OUT049,2898.262114673141
359,FDJ46,OUT013,2785.7819949772957
360,FDN45,OUT010,1620.6773050118145
361,FDY08,OUT035,2425.569609128829
362,FDZ37,OUT035,1609.1199450532285
363,NCT30,OUT045,696.9607340595226
364,DRY23,OUT018,452.9298118013394
365,NCZ30,OUT018,1645.3936137903193
366,FDC44,OUT018,1525.7099324553114
367,FDB45,OUT035,1846.9727035348687
368,FDY04,OUT013,2671.9774984964342
369,FDM27,OUT046,2568.7988647642214
370,FDZ43,OUT017,3973.037183423734
371,FDT39,OUT019,582.7000048575628
372,NCC06,OUT019,96.60613654763893
373,FDL15,OUT027,3918.4101311802024
374,FDL57,OUT017,4201.099065309647
375,FDU08,OUT046,1616.2207462008391
376,FDK40,OUT017,4271.204337527214
377,FDQ12,OUT010,1719.086160765989
378,FDS48,OUT017,2528.8339208157113
379,FDP09,OUT045,3306.8517576727854
380,FDW21,OUT049,1750.3320101976897
381,FDY25,OUT035,3019.557664182592
382,DRE13,OUT017,1490.0708122225906
383,FDV43,OUT019,-1171.1963447479568
384,FDD22,OUT045,1708.784991124522
385,FDM46,OUT019,-431.50320302088176
386,NCO30,OUT010,1000.4465769912258
387,FDM25,OUT046,2812.1995235233926
388,NCN41,OUT049,2029.224420516617
389,FDU24,OUT045,1463.342562527103
390,FDZ50,OUT046,2958.325487932926
391,FDP45,OUT013,4047.142374983241
392,NCM54,OUT045,1912.9769378532474
393,FDW10,OUT019,866.8422211947645
394,FDP20,OUT017,2147.047999349492
395,FDK32,OUT046,2471.943125875835
396,FDN52,OUT049,1549.8896085744936
397,FDM58,OUT045,1747.8228035740167
398,FDZ46,OUT027,3218.632196896764
399,NCA18,OUT018,1570.7226557502408
400,FDD35,OUT046,1949.0722473271426
401,NCK31,OUT035,957.1558478677412
402,FDI40,OUT027,3096.6709989818946
403,FDT50,OUT019,-288.1761565799093
404,NCT06,OUT046,2603.2305733719822
405,FDT31,OUT035,3141.8742470449024
406,FDT45,OUT049,973.5767530079565
407,FDT13,OUT045,2902.996235359481
408,FDO50,OUT045,1401.4926878714386
409,NCU18,OUT010,320.1909617206229
410,NCR54,OUT049,3144.913567692166
411,NCO18,OUT018,2537.918544745423
412,FDU09,OUT045,893.3547843892466
413,FDT13,OUT018,2701.3022951272924
414,FDE09,OUT046,1820.1689619379567
415,NCK53,OUT019,-289.0927228323212
416,FDG45,OUT049,3491.6010611146085
417,DRH15,OUT035,891.9541939386872
418,FDO21,OUT019,1715.6054575550552
419,FDD14,OUT027,4337.4447061691635
420,FDC09,OUT046,1717.5739426188193
421,FDH45,OUT027,2228.583804579682
422,FDV32,OUT046,1058.8886257735057
423,FDG12,OUT035,2101.25232082864
424,FDS32,OUT013,2344.2689957197435
425,NCL55,OUT018,3664.000842073404
426,DRE01,OUT035,3956.2087437816563
427,DRE15,OUT049,1380.275626744773
428,NCL42,OUT045,3811.8101111701935
429,FDP31,OUT013,1098.5842484980667
430,FDN33,OUT018,1261.2227223884756
431,FDZ59,OUT046,2649.1810119438533
432,FDE45,OUT010,927.6892323087109
433,FDJ07,OUT013,1945.581703230314
434,FDQ45,OUT018,2701.0461062897994
435,FDM33,OUT027,4921.486305567788
436,FDO15,OUT010,-590.5781418335084
437,FDM46,OUT013,1506.3245360088595
438,FDR03,OUT045,3281.7132631073955
439,FDY49,OUT018,2426.63594758385
440,FDQ60,OUT045,1849.765061934385
441,FDW10,OUT049,2881.6717860725003
442,FDO51,OUT049,907.7249054256299
443,FDJ40,OUT018,1510.5564339113075
444,FDS20,OUT018,2623.247876794583
445,FDU45,OUT013,1875.657858147304
446,FDV02,OUT035,2847.9772550984935
447,FDN09,OUT046,3835.057903052054
448,NCM55,OUT027,4377.367712153568
449,FDN23,OUT018,2089.8818658651226
450,FDY31,OUT010,421.50933850773663
451,FDW03,OUT010,-145.47828384974355
452,FDD14,OUT046,2874.484897781972
453,FDV23,OUT017,2103.7462060134512
454,DRI03,OUT045,2725.409015861809
455,FDN13,OUT035,1737.7726758864537
456,FDF45,OUT027,2497.1929352518573
457,FDU46,OUT035,1627.7067134249364
458,FDB57,OUT049,3689.8560173106544
459,FDV12,OUT049,1741.3664234371981
460,FDQ58,OUT013,2459.062823230468
461,NCA18,OUT017,1932.3827939743742
462,FDH52,OUT049,1140.4657335714937
463,FDM24,OUT018,2156.018344288299
464,NCP43,OUT027,4303.483118968815
465,NCO18,OUT019,886.9382633504833
466,FDM32,OUT017,1605.522800091334
467,NCL07,OUT017,746.0617822560316
468,FDK03,OUT013,4076.977442279769
469,FDP59,OUT017,1800.0157395580254
470,FDQ24,OUT049,4047.9428508670126
471,FDQ16,OUT018,1479.3223289719253
472,FDU44,OUT013,2645.978015969914
473,FDH28,OUT010,-1228.0613203405553
474,FDV28,OUT019,-1268.0965570431651
475,FDM22,OUT045,866.3417817615891
476,FDR56,OUT046,3138.4044942689443
477,FDV39,OUT049,3237.4898172495477
478,FDU37,OUT019,-556.6894388740982
479,FDQ11,OUT010,2182.0779741163524
480,FDX02,OUT045,3490.3984889020967
481,NCS42,OUT018,1198.924690374352
482,FDY57,OUT027,3004.9572524309624
483,FDB21,OUT049,3912.908104059262
484,FDE28,OUT017,3769.066159946061
485,FDQ55,OUT017,1986.576887289165
486,FDA48,OUT049,3615.4266069926625
487,FDZ19,OUT045,2699.510207919987
488,NCC43,OUT045,3880.643194488436
489,NCV18,OUT046,1304.9754474429856
490,NCA42,OUT018,2243.6323568079206
491,FDY45,OUT046,4048.949637464101
492,NCC30,OUT045,2751.3394973326504
493,FDM57,OUT013,1460.7050710240164
494,FDL09,OUT010,749.8285645504993
495,FDB09,OUT027,3447.1285145835245
496,FDT44,OUT035,2040.744619662738
497,NCT06,OUT027,4046.522305305859
498,FDX26,OUT049,3003.095152616015
499,FDK32,OUT013,2532.8012381441495
500,DRA12,OUT046,2283.2832358724163
501,FDO46,OUT010,1112.5472675370852
502,FDE52,OUT013,1507.4908866599526
503,NCH42,OUT045,3558.915995347007
504,FDV08,OUT035,881.7656489290248
505,FDB47,OUT018,3069.884775796364
506,FDC28,OUT010,-151.0353044518356
507,FDD22,OUT046,1806.9461038137042
508,FDS07,OUT027,3295.3213566265986
509,DRI13,OUT045,3375.394378756335
510,FDG32,OUT018,3247.2086965813824
511,FDU14,OUT017,4072.2910640802493
512,FDD28,OUT019,-940.4349473296822
513,NCP41,OUT017,1849.5562943775694
514,FDS08,OUT049,2882.393209698409
515,FDX47,OUT045,2503.2555417020058
516,FDC53,OUT019,-261.1716687931489
517,FDQ19,OUT035,4025.6213071889997
518,FDL14,OUT045,2452.085932375803
519,FDM33,OUT019,1595.208742820253
520,FDA51,OUT045,1774.177146652425
521,FDZ27,OUT018,563.167285837606
522,FDT04,OUT046,690.7458626166408
523,DRC13,OUT049,2114.0882299376817
524,FDR16,OUT027,4887.61185009983
525,FDQ03,OUT027,5237.98945299641
526,FDE38,OUT035,2811.129852164181
527,DRH23,OUT027,2349.5749626089837
528,FDT11,OUT019,1127.469185577561
529,FDD09,OUT035,3017.8642042539805
530,FDR40,OUT045,1334.4616863417486
531,FDX07,OUT017,3071.3634083653224
532,FDR07,OUT035,1714.9661728830142
533,FDA51,OUT017,1961.0591579204493
534,FDT59,OUT019,1777.8162014269747
535,FDF20,OUT017,3204.3572067674168
536,FDR13,OUT045,1815.9810729547198
537,FDY26,OUT049,3500.8937440995014
538,FDW04,OUT017,2202.889886606853
539,FDK52,OUT017,3691.2016382958373
540,FDN60,OUT049,2593.9829530640272
541,FDM09,OUT019,842.2719133454725
542,FDP46,OUT049,1522.1891047947856
543,FDB50,OUT019,-629.0440366057189
544,NCQ29,OUT049,4143.630804645794
545,FDP16,OUT027,5328.319346500675
546,FDX33,OUT018,2318.0355255170844
547,FDP07,OUT010,1179.8446262527868
548,FDN22,OUT046,3983.593907671574
549,FDF39,OUT049,4288.616774371985
550,FDS21,OUT017,1143.252921872615
551,NCM42,OUT013,1732.5043232352127
552,FDK50,OUT019,709.1791411584245
553,DRF13,OUT027,3798.653432881265
554,FDH35,OUT018,2329.171266074697
555,FDP60,OUT018,1326.048115164887
556,DRJ49,OUT027,3513.1868617877562
557,NCT42,OUT019,457.616525650787
558,FDE38,OUT049,2762.1754097976773
559,FDI04,OUT049,3266.893215202799
560,NCH54,OUT045,2423.5542199097436
561,FDT56,OUT049,1102.4388886123033
562,DRD15,OUT018,3403.629085030062
563,FDV58,OUT013,3071.5113472011863
564,FDP21,OUT049,3104.581497886814
565,FDH05,OUT013,3748.732495899493
566,FDR10,OUT027,4039.3922102259994
567,NCP06,OUT045,2300.539733807421
568,FDF33,OUT049,1830.4502047482656
569,DRK37,OUT013,2993.11241749105
570,DRH49,OUT045,1301.3986754369516
571,FDT58,OUT013,2684.840189680118
572,FDD41,OUT018,1430.779330258989
573,FDP40,OUT018,1529.6514546387716
574,FDM51,OUT027,3153.721177467056
575,FDO45,OUT010,-461.86925753532205
576,FDW33,OUT010,-223.30805830657027
577,FDY24,OUT045,842.6024446192087
578,FDB10,OUT010,1834.5564799706844
579,FDM40,OUT035,2397.5331887594048
580,NCI06,OUT017,2948.7885262414675
581,FDW12,OUT019,447.2852917386017
582,FDX48,OUT027,3967.676378650929
583,NCW05,OUT027,3122.6837593117316
584,FDX27,OUT017,1680.381719688443
585,DRM37,OUT045,3034.3811175669534
586,FDA38,OUT045,3767.9963064404474
587,FDR36,OUT046,709.9940862785397
588,FDZ45,OUT046,3131.7853880284356
589,FDG05,OUT017,2663.952112954783
590,FDK28,OUT013,4097.5008014712
591,FDV47,OUT045,1343.8116462346543
592,FDN21,OUT045,2480.7427723696483
593,FDP20,OUT027,3483.578892712757
594,FDI35,OUT045,2813.6972857730207
595,DRY23,OUT013,780.0073394501146
596,FDA56,OUT017,2089.1216370694256
597,FDB09,OUT013,2003.0099849279422
598,NCO26,OUT027,3292.586594663412
599,FDQ49,OUT018,2278.5744112162492
600,FDI52,OUT027,3383.4808849699957
601,FDZ44,OUT027,3342.7367701138546
602,FDZ09,OUT018,2325.8847933099887
603,FDY03,OUT049,1954.1539450721775
604,NCG42,OUT017,2143.1324486158055
605,DRI13,OUT027,4910.962813093441
606,FDQ32,OUT013,2083.060801811159
607,FDW16,OUT035,1665.3150220900325
608,FDU27,OUT046,818.4785124718683
609,FDR28,OUT010,727.6085018265153
610,FDQ49,OUT010,661.3171102417168
611,FDS37,OUT046,1858.9751355033522
612,FDW26,OUT018,3267.706247961829
613,FDX12,OUT018,3583.9060522028913
614,NCP06,OUT013,2419.017271646905
615,FDW45,OUT010,412.59121301768164
616,NCN30,OUT049,1618.1908463191548
617,FDN24,OUT049,961.615039356082
618,NCL41,OUT027,2015.7975745628173
619,FDR02,OUT019,-121.15245209257091
620,FDD09,OUT010,975.87408748082
621,FDS33,OUT010,-473.17601722753307
622,FDU22,OUT045,1828.3295839065258
623,FDI53,OUT013,2641.3593992500328
624,DRH01,OUT049,2858.6217546484013
625,FDX32,OUT013,2369.144121419982
626,NCP30,OUT018,387.702536183589
627,FDB60,OUT045,3031.449324188652
628,FDB14,OUT049,1636.2289724376851
629,NCP02,OUT035,1074.3386781606064
630,FDJ10,OUT017,2375.8310112688678
631,FDG34,OUT046,1816.9856241267535
632,NCB18,OUT017,1512.4302126666598
633,FDM16,OUT049,1371.7217049539413
634,FDW25,OUT018,1096.9701729322005
635,FDB35,OUT010,-398.7859477247607
636,DRN11,OUT013,2290.3919647965376
637,FDF41,OUT019,1994.1719387509238
638,FDH16,OUT045,1367.7764271847636
639,NCQ50,OUT018,3084.7565763633675
640,DRH23,OUT018,624.1819807351822
641,DRJ37,OUT013,2443.256633587609
642,DRJ24,OUT027,4347.501476797183
643,FDY16,OUT035,3077.3526614237053
644,FDQ27,OUT045,1673.7403502758207
645,FDZ33,OUT045,2297.7295489364224
646,FDF29,OUT045,2066.640255110844
647,FDA08,OUT049,2752.624362063387
648,FDG31,OUT046,1076.0520549858838
649,FDE34,OUT019,996.7649271240398
650,NCR30,OUT027,2640.4869390669255
651,FDV33,OUT035,4263.941716901417
652,DRZ24,OUT018,1619.5815181904336
653,NCL54,OUT035,2869.7069055957263
654,FDR12,OUT049,2890.518535786783
655,NCC54,OUT046,3789.1172201887393
656,DRN59,OUT013,788.4414211562312
657,FDX50,OUT019,-133.24777969493653
658,FDV31,OUT027,4280.955814334703
659,NCA29,OUT027,4181.210983106241
660,FDW60,OUT049,2949.838343740331
661,FDX08,OUT017,3017.723328343457
662,DRD49,OUT013,3734.6080386021704
663,FDD33,OUT046,3664.795788182123
664,FDW35,OUT013,781.5113108570395
665,FDJ36,OUT017,1784.25620746173
666,FDV51,OUT035,2811.2585739466294
667,FDW36,OUT046,1708.1498362835455
668,FDH35,OUT046,2624.6729195680336
669,NCS30,OUT027,3490.91674362876
670,FDN49,OUT017,803.0535532690374
671,FDL08,OUT018,3625.9184105311406
672,FDI09,OUT013,3861.166084236722
673,FDP19,OUT018,1768.6059743036867
